author,desc,genre,img,release,score,time,title
Christopher Nolan,"<div class=""content-txt "">
Au lieu de subtiliser un rêve, un voleur expérimenté et son équipe doivent faire l'inverse : implanter une idée dans l'esprit d'un individu. S'ils y parviennent, il pourrait s'agir du crime parfait ...
</div>","Science Fiction,Thriller",Inception,12 août 2020,"4,1",None,"Inception,Christopher Nolan,Leonardo DiCaprio,Marion Cotillard,Elliot Page, Spectateurs ,Mes amis "
Irvin Kershner,"<div class=""content-txt "">
Malgré la destruction de l'Etoile Noire, l'Empire maintient son emprise sur la galaxie, et poursuit sans relâche sa lutte contre l'Alliance rebelle. Basés sur la planète glacée de Hoth, les rebelles essuient un assaut des troupes impériales...
</div>","Aventure,Science Fiction",Star Wars : Episode V - L'Empire contre-attaque,9 avril 1997,"5,0",None,"Star Wars : Episode V - L'Empire contre-attaque,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher, Spectateurs ,Mes amis "
David Fincher,"<div class=""content-txt "">
John Doe a decidé de nettoyer la societé des maux qui la rongent en commettant sept meurtres bases sur les sept pechés capitaux.
</div>","Policier,Thriller",Seven,None,"3,6",None,"Seven,David Fincher,Brad Pitt,Morgan Freeman,Gwyneth Paltrow, Spectateurs ,Mes amis "
Robert Zemeckis,"<div class=""content-txt "">
Après être arrivé en 1955 à bord d'une DeLorean convertie en machine à remonter le temps, Marty McFly fonce pour s'assurer que ses futurs parents tombent amoureux.
</div>","Aventure,Comédie,Science Fiction",Retour vers le futur,None,"3,6",None,"Retour vers le futur,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson, Spectateurs ,Mes amis "
Roberto Benigni,"<div class=""content-txt "">
En 1938, Guido, jeune homme plein de gaieté, rêve d'ouvrir une librairie, malgré les tracasseries de l'administration fasciste. Il tombe amoureux de Dora, institutrice étouffée par le conformisme familial et l'enlève le jour de ses fiançailles avec un bureaucrate du régime. Cinq ans plus tard, Guido et Dora ont un fils: Giosue. Mais les ...
</div>","Comédie,Drame",La Vie est belle,None,"3,7",None,"La Vie est belle,Roberto Benigni,Horst Buchholz,Marisa Paredes, Spectateurs ,Mes amis "
Bryan Singer,"<div class=""content-txt "">
Suite à une mystérieuse dénonciation, cinq criminels se retrouvent en garde à vue. Plus tard, engagés sur un coup par le génie du crime Keyser Söze, les cinq hommes sont pris au piège d’une diabolique machination…
</div>","Policier,Thriller",Usual Suspects,18 juillet 2001,"4,6",None,"Usual Suspects,Bryan Singer,Chazz Palminteri,Kevin Spacey,Gabriel Byrne, Spectateurs ,Mes amis "
Charles Chaplin,"<div class=""content-txt "">
Charlot est ouvrier dans une immense usine. Il resserre quotidiennement des boulons. Mais les machines, le travail à la chaîne le rendent malade, il abandonne son poste et recueille une orpheline…
</div>","Comédie dramatique,Romance",Les Temps modernes,10 juillet 2019,"4,6",None,"Les Temps modernes,Charles Chaplin,Paulette Goddard,Henry Bergman, Spectateurs ,Mes amis "
None,"<div class=""content-txt "">
Lâchée par son amant, une jeune femme abandonne son enfant. Charlot le vagabond le recueille. Mais les services sociaux s’en mêlent...
</div>",Comédie,Le Kid,10 juillet 2019,"4,0",None,"Le Kid,Jackie Coogan,Edna Purviance, Spectateurs ,Mes amis "
Isao Takahata,"<div class=""content-txt "">
Japon, été 1945. Après le bombardement de Kobé, Seita, un adolescent de quatorze ans et sa petite soeur de quatre ans, Setsuko, orphelins, vont s'installer chez leur tante à quelques dizaines de kilomètres de chez eux. Celle-ci leur fait comprendre qu'ils sont une gêne pour la famille et doivent mériter leur riz quotidien. Seita décide de ...
</div>","Animation,Drame,Guerre",Le Tombeau des lucioles,None,"4,0",None,"Le Tombeau des lucioles,Isao Takahata,J. Robert Spencer,Ayano Shiraishi,Veronica Taylor, Spectateurs ,Mes amis "
Damien Chazelle,"<div class=""content-txt "">
Andrew, 19 ans, rêve de devenir l’un des meilleurs batteurs de jazz de sa génération. Mais la concurrence est rude au conservatoire de Manhattan où il s’entraîne avec acharnement...
</div>","Drame,Musical",Whiplash,None,"4,1",None,"Whiplash,Damien Chazelle,Miles Teller,J.K. Simmons,Paul Reiser, Spectateurs ,Mes amis "
